t,M,Ma,B,Ba,Bn,G,I,D,tD,E,R,Em
0.0,0.0000,0.0000,300.0000,0.0000,0.0000,100.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.001,49.9971,0.0004,299.9895,21409.6231,5.3525,99.0248,31.3574,0.0002,1.2736,0.4436,0.4436,0.0000
0.002,99.9864,0.0036,299.9789,42809.0887,21.4062,97.2283,39.1981,0.0017,5.0928,0.8871,0.8871,0.0000
0.003,149.9655,0.0120,299.9682,64197.8285,48.1543,95.0601,44.1321,0.0057,11.4546,1.3306,1.3306,0.0000
0.004,199.9316,0.0284,299.9573,85575.8325,85.5903,92.6811,47.6628,0.0136,20.3561,1.7741,1.7741,0.0001
0.005,249.8820,0.0555,299.9464,106943.0943,133.7075,90.1858,50.2733,0.0265,31.7939,2.2174,2.2174,0.0001
0.006,299.8141,0.0960,299.9353,128299.6079,192.4993,87.6371,52.2892,0.0458,45.7647,2.6607,2.6607,0.0002
0.007,349.7252,0.1524,299.9240,149645.3672,261.9589,85.0766,53.8599,0.0727,62.2647,3.1040,3.1040,0.0002
0.008,399.6128,0.2274,299.9126,170980.3647,342.0798,82.5338,55.0647,0.1084,81.2902,3.5472,3.5472,0.0003
0.009000000000000001,449.4740,0.3237,299.9011,192304.5934,432.8553,80.0315,55.9747,0.1543,102.8372,3.9903,3.9903,0.0004
0.01,499.3064,0.4439,299.8894,213618.0464,534.2787,77.5868,56.6536,0.2116,126.9013,4.4334,4.4334,0.0004
0.011,549.1073,0.5907,299.8775,234920.7172,646.3433,75.2110,57.1584,0.2815,153.4783,4.8764,4.8764,0.0005
0.012,598.8739,0.7666,299.8655,256212.5998,769.0425,72.9110,57.5336,0.3653,182.5634,5.3194,5.3194,0.0006
0.013000000000000001,648.6038,0.9744,299.8533,277493.6873,902.3695,70.6932,57.7904,0.4642,214.1520,5.7623,5.7623,0.0007
0.014,698.2943,1.2167,299.8410,298763.9725,1046.3178,68.5592,57.9389,0.5795,248.2390,6.2052,6.2052,0.0009
0.015,747.9428,1.4960,299.8285,320023.4485,1200.8805,66.5100,57.9906,0.7124,284.8194,6.6480,6.6480,0.0010
0.016,797.5466,1.8151,299.8159,341272.1092,1366.0509,64.5458,57.9577,0.8642,323.8876,7.0907,7.0907,0.0011
0.017,847.1032,2.1765,299.8032,362509.9487,1541.8225,62.6665,57.8525,1.0360,365.4382,7.5334,7.5334,0.0013
0.018000000000000002,896.6099,2.5827,299.7903,383736.9618,1728.1885,60.8715,57.6879,1.2291,409.4655,7.9760,7.9760,0.0014
0.019,946.0642,3.0365,299.7773,404953.1436,1925.1421,59.1595,57.4773,1.4447,455.9635,8.4186,8.4186,0.0016
0.02,995.4636,3.5404,299.7642,426158.4900,2132.6766,57.5289,57.2345,1.6841,504.9262,8.8611,8.8611,0.0018
0.021,1044.8053,4.0970,299.7510,447352.9971,2350.7855,55.9774,56.9738,1.9484,556.3472,9.3035,9.3035,0.0019
0.022,1094.0869,4.7089,299.7376,468536.6606,2579.4618,54.5030,56.7006,2.2388,610.2201,9.7459,9.7459,0.0021
0.023,1143.3057,5.3786,299.7242,489709.4763,2818.6989,53.1023,56.4110,2.5566,666.5382,10.1883,10.1883,0.0023
0.024,1192.4593,6.1087,299.7106,510871.4410,3068.4901,51.7713,56.1044,2.9029,725.2947,10.6305,10.6305,0.0025
0.025,1241.5451,6.9018,299.6970,532022.5516,3328.8287,50.5062,55.7808,3.2789,786.4825,11.0728,11.0728,0.0028
0.026000000000000002,1290.5606,7.7603,299.6833,553162.8055,3599.7079,49.3036,55.4411,3.6859,850.0945,11.5149,11.5149,0.0030
0.027,1339.5031,8.6870,299.6694,574292.2004,3881.1209,48.1602,55.0868,4.1249,916.1233,11.9570,11.9570,0.0032
0.028,1388.3703,9.6842,299.6555,595410.7343,4173.0610,47.0733,54.7199,4.5972,984.5613,12.3991,12.3991,0.0035
0.029,1437.1596,10.7545,299.6416,616518.4055,4475.5216,46.0402,54.3436,5.1039,1055.4007,12.8411,12.8411,0.0037
0.03,1485.8685,11.9005,299.6275,637615.2125,4788.4958,45.0587,53.9612,5.6462,1128.6338,13.2830,13.2830,0.0040
0.031,1534.4946,13.1245,299.6134,658701.1544,5111.9770,44.1267,53.5771,6.2252,1204.2523,13.7249,13.7249,0.0042
0.032,1583.0352,14.4292,299.5992,679776.2305,5445.9583,43.2427,53.1964,6.8420,1282.2480,14.1667,14.1667,0.0045
0.033,1631.4881,15.8170,299.5850,700840.4402,5790.4330,42.4052,52.8246,7.4979,1362.6125,14.6085,14.6085,0.0048
0.034,1679.8506,17.2903,299.5706,721893.7835,6145.3944,41.6132,52.4681,8.1939,1445.3372,15.0502,15.0502,0.0051
0.035,1728.1205,18.8517,299.5563,742936.2604,6510.8358,40.8651,52.1310,8.9311,1530.4132,15.4919,15.4919,0.0054
0.036000000000000004,1776.2952,20.5035,299.5419,763967.8702,6886.7503,40.1566,51.8048,9.7107,1617.8316,15.9335,15.9335,0.0057
0.037,1824.3722,22.2483,299.5274,784988.6135,7273.1313,39.4850,51.4868,10.5338,1707.5833,16.3750,16.3750,0.0060
0.038,1872.3493,24.0884,299.5129,805998.4910,7669.9719,38.8480,51.1756,11.4015,1799.6589,16.8165,16.8165,0.0063
0.039,1920.2240,26.0263,299.4983,826997.5035,8077.2655,38.2434,50.8698,12.3148,1894.0490,17.2579,17.2579,0.0066
0.04,1967.9939,28.0644,299.4837,847985.6519,8495.0052,37.6693,50.5686,13.2749,1990.7440,17.6993,17.6993,0.0070
0.041,2015.6567,30.2050,299.4691,868962.9373,8923.1843,37.1238,50.2714,14.2828,2089.7340,18.1406,18.1406,0.0073
0.042,2063.2099,32.4506,299.4544,889929.3609,9361.7961,36.6053,49.9780,15.3395,2191.0091,18.5819,18.5819,0.0077
0.043000000000000003,2110.6512,34.8036,299.4397,910884.9240,9810.8338,36.1123,49.6885,16.4463,2294.5591,19.0231,19.0231,0.0080
0.044,2157.9784,37.2662,299.4249,931829.6279,10270.2906,35.6434,49.4035,17.6040,2400.3739,19.4642,19.4642,0.0084
0.045,2205.1890,39.8409,299.4102,952763.4741,10740.1598,35.1975,49.1237,18.8137,2508.4428,19.9053,19.9053,0.0088
0.046,2252.2807,42.5299,299.3954,973686.4644,11220.4346,34.7737,48.8502,20.0765,2618.7554,20.3463,20.3464,0.0091
0.047,2299.2513,45.3356,299.3805,994598.6003,11711.1082,34.3710,48.5847,21.3933,2731.3009,20.7873,20.7873,0.0095
0.048,2346.0985,48.2603,299.3657,1015499.8839,12212.1740,33.9890,48.3288,22.7653,2846.0683,21.2282,21.2283,0.0099
0.049,2392.8201,51.3062,299.3508,1036390.3169,12723.6251,33.6269,48.0849,24.1934,2963.0465,21.6691,21.6691,0.0103
0.05,2439.4136,54.4757,299.3359,1057269.9016,13245.4548,33.2846,47.8553,25.6785,3082.2243,22.1099,22.1100,0.0107
0.051000000000000004,2485.8770,57.7711,299.3209,1078138.6400,13777.6562,32.9617,47.6425,27.2217,3203.5904,22.5507,22.5507,0.0111
0.052000000000000005,2532.2080,61.1945,299.3060,1098996.5341,14320.2228,32.6559,47.4414,28.8240,3327.1331,22.9914,22.9914,0.0116
0.053,2578.4044,64.7482,299.2910,1119843.5863,14873.1476,32.3657,47.2494,30.4862,3452.8408,23.4321,23.4321,0.0120
0.054,2624.4639,68.4344,299.2760,1140679.7989,15436.4240,32.0902,47.0655,32.2094,3580.7017,23.8727,23.8727,0.0124
0.055,2670.3845,72.2553,299.2610,1161505.1747,16010.0451,31.8285,46.8886,33.9946,3710.7037,24.3132,24.3132,0.0128
0.056,2716.1639,76.2132,299.2459,1182319.7161,16594.0042,31.5798,46.7180,35.8425,3842.8346,24.7537,24.7537,0.0133
0.057,2761.8000,80.3101,299.2309,1203123.4256,17188.2946,31.3434,46.5529,37.7543,3977.0823,25.1941,25.1942,0.0137
0.058,2807.2907,84.5483,299.2158,1223916.3060,17792.9094,31.1185,46.3928,39.7306,4113.4342,25.6345,25.6346,0.0142
0.059000000000000004,2852.6339,88.9299,299.2007,1244698.3598,18407.8419,30.9046,46.2373,41.7726,4251.8778,26.0748,26.0749,0.0146
0.06,2897.8273,93.4570,299.1856,1265469.5895,19033.0853,30.7009,46.0862,43.8811,4392.4004,26.5151,26.5152,0.0151
0.061,2942.8691,98.1318,299.1705,1286229.9980,19668.6329,30.5070,45.9391,46.0568,4534.9893,26.9553,26.9554,0.0156
0.062,2987.7571,102.9562,299.1554,1306979.5877,20314.4779,30.3223,45.7962,48.3008,4679.6313,27.3955,27.3956,0.0160
0.063,3032.4892,107.9325,299.1403,1327718.3615,20970.6135,30.1465,45.6575,50.6139,4826.3135,27.8356,27.8357,0.0165
0.064,3077.0635,113.0625,299.1251,1348446.3219,21637.0330,29.9791,45.5232,52.9968,4975.0225,28.2757,28.2758,0.0170
0.065,3121.4779,118.3485,299.1100,1369163.4718,22313.7295,29.8198,45.3938,55.4505,5125.7450,28.7157,28.7158,0.0175
0.066,3165.7304,123.7924,299.0948,1389869.8138,23000.6964,29.6683,45.2698,57.9758,5278.4676,29.1557,29.1558,0.0180
0.067,3209.8190,129.3963,299.0796,1410565.3507,23697.9269,29.5244,45.1517,60.5734,5433.1764,29.5956,29.5957,0.0184
0.068,3253.7419,135.1620,299.0644,1431250.0852,24405.4141,29.3880,45.0405,63.2443,5589.8579,30.0355,30.0355,0.0189
0.069,3297.4970,141.0917,299.0492,1451924.0202,25123.1514,29.2589,44.9369,65.9891,5748.4979,30.4753,30.4754,0.0194
0.07,3341.0824,147.1872,299.0340,1472587.1585,25851.1319,29.1369,44.8419,68.8086,5909.0825,30.9150,30.9151,0.0199
0.07100000000000001,3384.4962,153.4505,299.0188,1493239.5028,26589.3489,29.0212,44.7530,71.7037,6071.5977,31.3547,31.3548,0.0204
0.07200000000000001,3427.7365,159.8836,299.0036,1513881.0560,27337.7956,28.9112,44.6690,74.6750,6236.0293,31.7944,31.7945,0.0209
0.073,3470.8015,166.4882,298.9883,1534511.8211,28096.4653,28.8067,44.5892,77.7234,6402.3626,32.2340,32.2341,0.0214
0.074,3513.6893,173.2663,298.9731,1555131.8012,28865.3511,28.7072,44.5133,80.8495,6570.5833,32.6736,32.6737,0.0219
0.075,3556.3981,180.2198,298.9578,1575740.9993,29644.4463,28.6126,44.4408,84.0540,6740.6766,33.1131,33.1132,0.0224
0.076,3598.9260,187.3505,298.9426,1596339.4181,30433.7442,28.5226,44.3713,87.3377,6912.6279,33.5525,33.5526,0.0230
0.077,3641.2713,194.6603,298.9273,1616927.0609,31233.2378,28.4370,44.3044,90.7012,7086.4222,33.9919,33.9921,0.0235
0.078,3683.4322,202.1509,298.9120,1637503.9303,32042.9206,28.3555,44.2399,94.1453,7262.0446,34.4313,34.4314,0.0240
0.079,3725.4069,209.8241,298.8968,1658070.0294,32862.7856,28.2779,44.1775,97.6706,7439.4800,34.8706,34.8708,0.0245
0.08,3767.1937,217.6817,298.8815,1678625.3611,33692.8262,28.2040,44.1170,101.2777,7618.7133,35.3099,35.3100,0.0250
0.081,3808.7909,225.7255,298.8662,1699169.9283,34533.0355,28.1336,44.0582,104.9673,7799.7293,35.7491,35.7492,0.0255
0.082,3850.1968,233.9572,298.8509,1719703.7338,35383.4067,28.0665,44.0011,108.7401,7982.5125,36.1883,36.1884,0.0260
0.083,3891.4097,242.3785,298.8356,1740226.7804,36243.9332,28.0026,43.9455,112.5966,8167.0476,36.6274,36.6276,0.0265
0.084,3932.4280,250.9910,298.8203,1760739.0711,37114.6080,27.9417,43.8916,116.5374,8353.3190,37.0665,37.0666,0.0271
0.085,3973.2500,259.7965,298.8050,1781240.6086,37995.4245,27.8837,43.8392,120.5632,8541.3110,37.5055,37.5057,0.0276
0.08600000000000001,4013.8742,268.7966,298.7897,1801731.3958,38886.3759,27.8285,43.7886,124.6744,8731.0078,37.9445,37.9447,0.0281
0.08700000000000001,4054.2989,277.9929,298.7744,1822211.4354,39787.4553,27.7759,43.7397,128.8718,8922.3937,38.3835,38.3836,0.0286
0.088,4094.5225,287.3871,298.7590,1842680.7303,40698.6559,27.7258,43.6929,133.1558,9115.4526,38.8224,38.8225,0.0291
0.089,4134.5436,296.9807,298.7437,1863139.2832,41619.9711,27.6782,43.6483,137.5269,9310.1684,39.2612,39.2614,0.0296
0.09,4174.3605,306.7752,298.7284,1883587.0968,42551.3940,27.6329,43.6062,141.9858,9506.5252,39.7001,39.7002,0.0301
0.091,4213.9718,316.7724,298.7130,1904024.1739,43492.9179,27.5900,43.5669,146.5328,9704.5064,40.1388,40.1389,0.0306
0.092,4253.3760,326.9736,298.6977,1924450.5173,44444.5359,27.5493,43.5308,151.1686,9904.0959,40.5776,40.5776,0.0311
0.093,4292.5716,337.3804,298.6824,1944866.1295,45406.2413,27.5109,43.4983,155.8936,10105.2772,41.0162,41.0163,0.0316
0.094,4331.5571,347.9942,298.6670,1965271.0134,46378.0273,27.4746,43.4694,160.7082,10308.0338,41.4549,41.4549,0.0321
0.095,4370.3312,358.8166,298.6517,1985665.1717,47359.8870,27.4402,43.4431,165.6130,10512.3496,41.8935,41.8935,0.0326
0.096,4408.8925,369.8490,298.6363,2006048.6072,48351.8138,27.4074,43.4189,170.6084,10718.2078,42.3320,42.3321,0.0331
0.097,4447.2395,381.0927,298.6209,2026421.3227,49353.8008,27.3763,43.3966,175.6948,10925.5916,42.7706,42.7706,0.0336
0.098,4485.3709,392.5493,298.6056,2046783.3209,50365.8412,27.3468,43.3757,180.8726,11134.4840,43.2090,43.2090,0.0340
0.099,4523.2853,404.2200,298.5902,2067134.6048,51387.9282,27.3186,43.3561,186.1423,11344.8682,43.6475,43.6474,0.0345
0.1,4560.9815,416.1063,298.5748,2087475.1768,52420.0550,27.2919,43.3374,191.5042,11556.7271,44.0859,44.0858,0.0350
0.101,4598.4581,428.2095,298.5595,2107805.0399,53462.2149,27.2664,43.3194,196.9587,11770.0437,44.5243,44.5241,0.0355
0.10200000000000001,4635.7138,440.5309,298.5441,2128124.1965,54514.4011,27.2421,43.3019,202.5062,11984.8009,44.9626,44.9624,0.0359
0.10300000000000001,4672.7475,453.0717,298.5287,2148432.6495,55576.6067,27.2189,43.2847,208.1471,12200.9817,45.4009,45.4007,0.0364
0.10400000000000001,4709.5579,465.8333,298.5133,2168730.4014,56648.8249,27.1968,43.2677,213.8816,12418.5688,45.8391,45.8389,0.0368
0.105,4746.1437,478.8169,298.4980,2189017.4547,57731.0490,27.1756,43.2507,219.7102,12637.5450,46.2773,46.2771,0.0373
0.106,4782.5038,492.0238,298.4826,2209293.8122,58823.2722,27.1554,43.2335,225.6331,12857.8930,46.7155,46.7152,0.0377
0.107,4818.6370,505.4551,298.4672,2229559.4763,59925.4875,27.1361,43.2163,231.6506,13079.5956,47.1537,47.1533,0.0382
0.108,4854.5423,519.1121,298.4518,2249814.4495,61037.6883,27.1176,43.1988,237.7631,13302.6353,47.5918,47.5913,0.0386
0.109,4890.2184,532.9958,298.4364,2270058.7345,62159.8678,27.0999,43.1811,243.9707,13526.9948,48.0298,48.0293,0.0390
0.11,4925.6642,547.1074,298.4210,2290292.3336,63292.0190,27.0829,43.1631,250.2738,13752.6565,48.4679,48.4673,0.0394
0.111,4960.8788,561.4481,298.4056,2310515.2493,64434.1353,27.0666,43.1449,256.6726,13979.6030,48.9059,48.9052,0.0399
0.112,4995.8610,576.0189,298.3902,2330727.4841,65586.2097,27.0511,43.1265,263.1673,14207.8167,49.3439,49.3431,0.0403
0.113,5030.6098,590.8210,298.3748,2350929.0403,66748.2356,27.0362,43.1081,269.7582,14437.2800,49.7818,49.7810,0.0407
0.114,5065.1243,605.8553,298.3594,2371119.9203,67920.2060,27.0219,43.0897,276.4455,14667.9752,50.2197,50.2188,0.0411
0.115,5099.4033,621.1229,298.3440,2391300.1266,69102.1141,27.0083,43.0715,283.2294,14899.8847,50.6576,50.6565,0.0414
0.116,5133.4461,636.6248,298.3286,2411469.6614,70293.9532,26.9953,43.0536,290.1100,15132.9906,51.0955,51.0943,0.0418
0.117,5167.2515,652.3619,298.3131,2431628.5270,71495.7165,26.9829,43.0361,297.0875,15367.2752,51.5333,51.5320,0.0422
0.11800000000000001,5200.8188,668.3353,298.2977,2451776.7258,72707.3970,26.9712,43.0195,304.1621,15602.7206,51.9711,51.9696,0.0426
0.11900000000000001,5234.1470,684.5459,298.2823,2471914.2599,73928.9880,26.9601,43.0037,311.3339,15839.3090,52.4089,52.4073,0.0429
0.12,5267.2352,700.9946,298.2669,2492041.1317,75160.4826,26.9496,42.9892,318.6031,16077.0223,52.8466,52.8449,0.0433
0.121,5300.0826,717.6823,298.2515,2512157.3433,76401.8741,26.9397,42.9763,325.9697,16315.8427,53.2843,53.2824,0.0436
0.122,5332.6884,734.6099,298.2360,2532262.8970,77653.1555,26.9306,42.9651,333.4340,16555.7519,53.7220,53.7199,0.0440
0.123,5365.0518,751.7781,298.2206,2552357.7948,78914.3202,26.9221,42.9562,340.9958,16796.7321,54.1596,54.1574,0.0443
0.124,5397.1719,769.1880,298.2052,2572442.0390,80185.3612,26.9144,42.9498,348.6554,17038.7649,54.5973,54.5948,0.0446
0.125,5429.0481,786.8401,298.1897,2592515.6317,81466.2717,26.9074,42.9464,356.4128,17281.8324,55.0349,55.0322,0.0449
0.126,5460.6795,804.7354,298.1743,2612578.5753,82757.0448,26.9014,42.9458,364.2681,17525.9170,55.4725,55.4696,0.0452
0.127,5492.0655,822.8747,298.1589,2632630.8721,84057.6738,26.8961,42.9475,372.2213,17771.0007,55.9100,55.9070,0.0455
0.128,5523.2053,841.2585,298.1434,2652672.5242,85368.1517,26.8916,42.9508,380.2725,18017.0654,56.3476,56.3443,0.0458
0.129,5554.0984,859.8877,298.1280,2672703.5336,86688.4718,26.8876,42.9552,388.4215,18264.0927,56.7851,56.7815,0.0461
0.13,5584.7441,878.7629,298.1125,2692723.9023,88018.6272,26.8840,42.9603,396.6686,18512.0646,57.2226,57.2188,0.0464
0.131,5615.1416,897.8849,298.0971,2712733.6325,89358.6111,26.8807,42.9656,405.0135,18760.9627,57.6601,57.6560,0.0466
0.132,5645.2906,917.2542,298.0816,2732732.7260,90708.4165,26.8776,42.9707,413.4564,19010.7689,58.0976,58.0931,0.0469
0.133,5675.1902,936.8715,298.0662,2752721.1849,92068.0367,26.8746,42.9752,421.9971,19261.4651,58.5350,58.5303,0.0471
0.134,5704.8401,956.7374,298.0507,2772699.0111,93437.4647,26.8716,42.9789,430.6356,19513.0331,58.9724,58.9674,0.0474
0.135,5734.2397,976.8524,298.0353,2792666.2065,94816.6939,26.8686,42.9815,439.3719,19765.4548,59.4098,59.4044,0.0476
0.136,5763.3884,997.2172,298.0198,2812622.7731,96205.7172,26.8654,42.9827,448.2059,20018.7121,59.8472,59.8414,0.0478
