t,G,I,B,Te,Treg
0.0,100.0000,20.0000,10000.0000,1000.0000,1000.0000
0.01,99.9740,29.9588,9919.5612,831.9607,1000.1558
0.02,99.9382,39.8441,9854.3723,715.5286,1000.2858
0.03,99.8924,49.6700,9801.8751,629.7906,1000.3976
0.04,99.8369,59.4510,9762.4706,559.1629,1000.4954
0.05,99.7716,69.1975,9732.8932,502.9023,1000.5817
0.06,99.6966,78.9181,9711.6185,457.3003,1000.6588
0.07,99.6118,88.6210,9697.6685,419.2159,1000.7283
0.08,99.5174,98.3140,9690.2967,386.6204,1000.7914
0.09,99.4133,108.0027,9688.6258,358.7122,1000.8491
0.1,99.2995,117.6916,9691.9673,334.7130,1000.9021
0.11,99.1760,127.3856,9699.7636,313.9023,1000.9509
0.12,99.0428,137.0889,9711.5882,295.6175,1000.9962
0.13,98.8999,146.8061,9727.1456,279.2538,1001.0383
0.14,98.7472,156.5412,9746.1854,264.4054,1001.0777
0.15,98.5849,166.2974,9768.3601,251.0117,1001.1145
0.16,98.4127,176.0770,9793.4135,238.9187,1001.1490
0.17,98.2308,185.8827,9821.1161,227.9769,1001.1814
0.18,98.0391,195.7167,9851.2633,218.0447,1001.2118
0.19,97.8375,205.5816,9883.6748,208.9886,1001.2406
0.2,97.6260,215.4795,9918.1950,200.6833,1001.2677
0.21,97.4046,225.4128,9954.6929,193.0116,1001.2934
0.22,97.1732,235.3837,9993.0619,185.8642,1001.3178
0.23,96.9319,245.3944,10033.2102,179.1578,1001.3409
0.24,96.6806,255.4465,10075.0220,172.8919,1001.3629
0.25,96.4192,265.5414,10118.4054,167.0404,1001.3837
0.26,96.1476,275.6803,10163.2759,161.5729,1001.4036
0.27,95.8660,285.8645,10209.5529,156.4600,1001.4224
0.28,95.5741,296.0953,10257.1603,151.6736,1001.4404
0.29,95.2719,306.3739,10306.0262,147.1863,1001.4575
0.3,94.9594,316.7016,10356.0830,142.9719,1001.4738
0.31,94.6366,327.0794,10407.2672,139.0052,1001.4894
0.32,94.3034,337.5086,10459.5199,135.2621,1001.5043
0.33,93.9597,347.9904,10512.7862,131.7192,1001.5185
0.34,93.6056,358.5258,10567.0154,128.3544,1001.5320
0.35000000000000003,93.2408,369.1159,10622.1612,125.1467,1001.5450
0.36,92.8655,379.7618,10678.1816,122.0760,1001.5574
0.37,92.4795,390.4646,10735.0369,119.1292,1001.5693
0.38,92.0828,401.2250,10792.6847,116.3127,1001.5807
0.39,91.6753,412.0436,10851.0879,113.6214,1001.5915
0.4,91.2569,422.9210,10910.2100,111.0494,1001.6019
0.41000000000000003,90.8277,433.8578,10970.0146,108.5906,1001.6119
0.42,90.3875,444.8546,11030.4658,106.2395,1001.6214
0.43,89.9363,455.9119,11091.5280,103.9904,1001.6304
0.44,89.4740,467.0303,11153.1658,101.8378,1001.6391
0.45,89.0005,478.2103,11215.3442,99.7764,1001.6474
0.46,88.5158,489.4523,11278.0284,97.8011,1001.6553
0.47000000000000003,88.0199,500.7569,11341.1840,95.9066,1001.6629
0.48,87.5126,512.1245,11404.7768,94.0882,1001.6701
0.49,86.9939,523.5555,11468.7730,92.3410,1001.6770
0.5,86.4637,535.0504,11533.1391,90.6602,1001.6836
0.51,85.9220,546.6095,11597.8418,89.0415,1001.6899
0.52,85.3688,558.2332,11662.8482,87.4803,1001.6959
0.53,84.8038,569.9219,11728.1258,85.9723,1001.7016
0.54,84.2272,581.6759,11793.6421,84.5135,1001.7070
0.55,83.6388,593.4956,11859.3651,83.0999,1001.7122
0.56,83.0385,605.3812,11925.2632,81.7274,1001.7171
0.5700000000000001,82.4264,617.3329,11991.3049,80.3925,1001.7218
0.58,81.8023,629.3511,12057.4603,79.0931,1001.7263
0.59,81.1661,641.4357,12123.7021,77.8322,1001.7305
0.6,80.5179,653.5868,12190.0003,76.6088,1001.7345
0.61,79.8575,665.8042,12256.3244,75.4217,1001.7383
0.62,79.1848,678.0880,12322.6436,74.2698,1001.7419
0.63,78.4998,690.4380,12388.9267,73.1520,1001.7453
0.64,77.8025,702.8543,12455.1422,72.0671,1001.7484
0.65,77.0927,715.3367,12521.2583,71.0139,1001.7514
0.66,76.3704,727.8849,12587.2429,69.9915,1001.7542
0.67,75.6356,740.4989,12653.0636,68.9987,1001.7568
0.68,74.8880,753.1784,12718.6876,68.0345,1001.7592
0.6900000000000001,74.1278,765.9231,12784.0820,67.0978,1001.7615
0.7000000000000001,73.3548,778.7328,12849.2133,66.1876,1001.7636
0.71,72.5689,791.6072,12914.0478,65.3029,1001.7655
0.72,71.7702,804.5460,12978.5516,64.4427,1001.7673
0.73,70.9584,817.5487,13042.6903,63.6061,1001.7689
0.74,70.1336,830.6150,13106.4294,62.7920,1001.7703
0.75,69.2958,843.7445,13169.7338,61.9995,1001.7716
0.76,68.4447,856.9367,13232.5684,61.2277,1001.7728
0.77,67.5805,870.1911,13294.8975,60.4757,1001.7738
0.78,66.7030,883.5073,13356.6853,59.7426,1001.7747
0.79,65.8121,896.8846,13417.8956,59.0276,1001.7754
0.8,64.9078,910.3225,13478.4919,58.3297,1001.7761
0.81,63.9901,923.8205,13538.4373,57.6482,1001.7766
0.8200000000000001,63.0588,937.3778,13597.6947,56.9822,1001.7769
0.8300000000000001,62.1140,950.9939,13656.2266,56.3309,1001.7772
0.84,61.1556,964.6679,13713.9953,55.6936,1001.7773
0.85,60.1834,978.3994,13770.9627,55.0694,1001.7774
0.86,59.1975,992.1873,13827.0904,54.4576,1001.7773
0.87,58.1979,1006.0311,13882.3396,53.8574,1001.7771
